number_in_file,metal,yield,tag,DOI
1,Co,0.9,1,doi.org/10.1021/acscatal.3c02072
2,Co,0.82,1,doi.org/10.1021/acscatal.3c02072
3,Co,0.72,1,doi.org/10.1021/acscatal.3c02072
4,Co,0.19,1,DOI: 10.1126/science.adg2866
5,Co,0.8,1,doi.org/10.1021/acscatal.3c02072
6,Co,0.92,1,doi.org/10.1021/acscatal.3c02072
7,Co,0.96,1,doi.org/10.1021/acscatal.3c02072
8,Co,0.67,1,doi.org/10.1038/s41929-025-01306-9
9,Co,0.55,1,doi.org/10.1038/s41929-025-01306-9
10,Co,0.56,1,doi.org/10.1038/s41929-025-01306-9
11,Co,0.4,1,doi.org/10.1038/s41929-025-01306-9
