num,sub1,sub2,sub3,catalyst,additive,ligand,solvent,cosolvent,mediator,electrolyte,anode,cathod,temp,yield,reactivity,doi,note
1,O=C(NC1=[N+]([O-])C=CC=C1)C2=CC=CC=C2,CO,,CC(O[Co]OC(C)=O)=O.[H]O[H].[H]O[H].[H]O[H].[H]O[H],CC(C)(C)C([O-])=O.[Na+],,CO,,,,RVC,Pt,25,0.71,1,doi.org/10.1021/jacs.7b11025,
2,O=C(NC1=[N+]([O-])C=CC=C1)C2=CC=CC=C2,C#CC1=CC=CC=C1,,CC(O[Co]OC(C)=O)=O.[H]O[H].[H]O[H].[H]O[H].[H]O[H],CC(C)(C)C([O-])=O.[Na+],,CO,,,,RVC,Pt,23,0.64,1,doi.org/10.1002/anie.201712647,
3,O=C(NC1=[N+]([O-])C=CC=C1)C2=CC=CC=C2,C1CNCCO1,,CC(O[Co]OC(C)=O)=O.[H]O[H].[H]O[H].[H]O[H].[H]O[H],CC([O-])=O.[Na+],,CC#N,,,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,RVC,Pt,60,0.55,1,doi.org/10.1002/anie.201802206,
4,O=C(NN(C)C1=NC=CC=C1)C2=CC=CC=C2,C1(C#CC2=CC=CC=C2)=CC=CC=C1,,CC(O[Co]OC(C)=O)=O,CC(C)(C)C([O-])=O.[Na+],,FC(F)(F)CO,,,,RVC,Pt,23,0.48,1,doi.org/10.1021/jacs.8b03521,
5,O=C(NN(C)C1=NC=CC=C1)C2=CC=CC=C2,[C-]#[N+]C(C)(C)C,,CC(O[Co]OC(C)=O)=O,CC(C)(C)C([O-])=O.[Na+],,O=S(C)C,,,CCCC[N+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,RVC,Pt,120,0.77,1,10.1002/cssc.201900378,
6,O=C(NN(C)C1=NC=CC=C1)C2=CC=CC=C2,C1(C#CC#CC2=CC=CC=C2)=CC=CC=C1,,CC(O[Co]OC(C)=O)=O,CC(C)(C)C(O)=O,,FC(F)(F)CO,,,,RVC,Pt,60,0.73,1,doi.org/10.1021/acs.orglett.9b02463,
7,O=C(NC1=C(N=CC=C2)C2=CC=C1)C3=CC=CC=C3,C1CNCCO1,,COCCOC.Cl[Ni]Cl,CC(C)(C)C([O-])=O.[Na+],,CC(N(C)C)=O,,,CCCC[N+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,RVC,Ni,120,0.77,1,DOI:10.1002/chem.201805441,
8,O=C(N(C)OC)C1=CC=CC=C1,,,CC1=CC=C(C(C)C)C=C1.CC(O[Ru]OC(C)=O)=O,IC1=CC=CC=C1,,O=C(O)C(F)(F)F,O=C(OC(C(F)(F)F)=O)C(F)(F)F,,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,Pt,Pt,25,0.5,1,doi.org/10.1002/anie.201914226,
9,O=C(NN(C)C1=NC=CC=C1)C2=CC=CC=C2,C=C=CP(C1=CC=CC=C1)(C2=CC=CC=C2)=O,,CC(O[Co]OC(C)=O)=O,CC(C)(C)C([O-])=O.[Na+],,CO,,,,RVC,Pt,23,0.81,1,DOI: 10.1039/c9cc09076b,
10,O=C(NC1=C(N=CC=C2)C2=CC=C1)C3=CC(C)=CC=C3,CCCCCCCCCCI,,COCCOC.Cl[Ni]Cl,CCN(CC)CC,,CC(N(C)C)=O,,,CCCC[N+](CCCC)(CCCC)CCCC.[I-],Zn,Ni,25,0.76,1,doi.org/10.1002/anie.202004958,
